,ID,Alamosite,Chalcophyllite,Gypsum,Orpiment,Junitoite,Phoenicochroite,Groutite,Zykaite,Weloganite,Diadochite,Semseyite,Creedite,Xieite,Eveite,Rutile,Tyrolite,Feroxyhyte,Kostovite
23,Ast_000024,2058.0,4110.0,4714.0,3607.0,2806.0,3404.0,10227.0,3417.0,3541.0,2519.0,4678.0,11020.0,2514.0,5020.0,3426.0,3127.0,2982.0,3079.0
24,Ast_000025,1310.0,4581.0,4163.0,3845.0,3418.0,2083.0,7239.0,2922.0,5517.0,3417.0,3299.0,11729.0,4271.0,3246.0,1744.0,2966.0,1728.0,3957.0
25,Ast_000026,2753.0,4215.0,2098.0,2691.0,3665.0,2450.0,13013.0,5684.0,2574.0,3939.0,2510.0,8284.0,4022.0,1649.0,4057.0,4529.0,4271.0,3595.0
26,Ast_000027,4067.0,1850.0,2038.0,4119.0,1757.0,3646.0,18282.0,1259.0,3980.0,2523.0,2562.0,12572.0,2096.0,4644.0,2394.0,3338.0,2955.0,3503.0
27,Ast_000028,4062.0,1643.0,2057.0,5181.0,1819.0,3647.0,18232.0,1371.0,3918.0,2911.0,2547.0,15758.0,2334.0,4548.0,2146.0,3321.0,2617.0,3846.0
28,Ast_000029,4875.0,2195.0,1554.0,3020.0,4201.0,4365.0,21501.0,4347.0,2945.0,5846.0,3174.0,9264.0,4564.0,2612.0,1931.0,3451.0,4814.0,4280.0
29,Ast_000030,1750.0,4216.0,3634.0,3455.0,3941.0,2710.0,8993.0,2639.0,5363.0,2994.0,4391.0,10584.0,,2616.0,1531.0,3771.0,1826.0,3570.0
30,Ast_000031,1718.0,3804.0,4093.0,3598.0,2605.0,3491.0,8860.0,3916.0,3122.0,2517.0,4691.0,10970.0,2737.0,4842.0,3602.0,3268.0,3308.0,2475.0
31,Ast_000032,4649.0,4413.0,3049.0,2238.0,5591.0,1239.0,20596.0,1381.0,5100.0,4704.0,2181.0,6896.0,4256.0,2286.0,2329.0,2522.0,3491.0,1607.0
32,Ast_000033,2487.0,3520.0,4362.0,4163.0,2709.0,3604.0,11935.0,3426.0,4161.0,2635.0,4364.0,12680.0,2883.0,4651.0,2912.0,3217.0,3469.0,3441.0
33,Ast_000034,2940.0,4547.0,1294.0,2776.0,4457.0,2296.0,13759.0,4481.0,3554.0,4606.0,2659.0,8525.0,4444.0,1975.0,4060.0,4409.0,4542.0,2846.0
34,Ast_000035,4241.0,4572.0,2017.0,2381.0,4116.0,1358.0,18967.0,2058.0,4731.0,4640.0,2228.0,7344.0,4301.0,2049.0,1674.0,2536.0,3402.0,1473.0
35,Ast_000036,4669.0,2443.0,1996.0,2745.0,4212.0,3523.0,20679.0,3750.0,2840.0,5089.0,3873.0,8421.0,4848.0,2717.0,2038.0,2676.0,5233.0,3186.0
36,Ast_000037,4192.0,5163.0,5137.0,2148.0,4297.0,2509.0,18778.0,4562.0,1407.0,2218.0,2592.0,6650.0,2500.0,4681.0,2562.0,4181.0,4119.0,2192.0
37,Ast_000038,3934.0,1204.0,2093.0,4692.0,2317.0,3794.0,17727.0,2014.0,4313.0,2631.0,3246.0,14283.0,1967.0,4656.0,2783.0,3269.0,2322.0,3488.0
38,Ast_000039,2880.0,5265.0,1976.0,2426.0,3858.0,2364.0,13535.0,4729.0,2931.0,3550.0,1854.0,7490.0,4474.0,2472.0,4529.0,4079.0,4295.0,3176.0
39,Ast_000040,4260.0,1876.0,919.0,4396.0,1805.0,3658.0,19049.0,1743.0,3851.0,2210.0,2604.0,13384.0,2418.0,4020.0,2156.0,3589.0,2436.0,3883.0
40,Ast_000041,3631.0,1620.0,2309.0,4445.0,1585.0,3962.0,,1239.0,3719.0,2851.0,2809.0,13549.0,3244.0,4664.0,2329.0,3250.0,2413.0,3631.0
41,Ast_000042,2904.0,3410.0,1182.0,2901.0,3349.0,2214.0,13619.0,4849.0,2705.0,3769.0,2319.0,8922.0,4855.0,2055.0,3844.0,4576.0,4563.0,3082.0
42,Ast_000043,4717.0,4419.0,3090.0,2510.0,4884.0,1708.0,20863.0,2057.0,4464.0,5265.0,2401.0,7725.0,3535.0,2708.0,1384.0,2406.0,2842.0,1365.0
43,Ast_000044,4896.0,2843.0,2055.0,3297.0,4706.0,3723.0,21581.0,3973.0,3130.0,5273.0,3931.0,10099.0,5084.0,2817.0,2363.0,2245.0,4788.0,3767.0
44,Ast_000045,3232.0,1628.0,1474.0,4611.0,1757.0,3644.0,14938.0,1725.0,4353.0,1942.0,3227.0,14020.0,3160.0,4065.0,2207.0,3325.0,2364.0,3451.0
45,Ast_000046,4838.0,2222.0,2118.0,2791.0,4858.0,4161.0,21344.0,4129.0,3107.0,5428.0,3875.0,8580.0,3705.0,2494.0,1840.0,2467.0,4739.0,2659.0
46,Ast_000047,4836.0,2047.0,2132.0,3169.0,4422.0,3316.0,21343.0,3386.0,2119.0,4677.0,3905.0,9717.0,4991.0,2231.0,1927.0,3083.0,4748.0,3452.0
47,Ast_000048,2891.0,4191.0,1937.0,2624.0,4428.0,2399.0,13564.0,5087.0,2983.0,4219.0,1858.0,8066.0,4784.0,1323.0,4387.0,4475.0,3872.0,2928.0
48,Ast_000049,1896.0,3933.0,3587.0,3280.0,3379.0,2277.0,9583.0,2615.0,5278.0,3015.0,4689.0,10030.0,4263.0,3204.0,1585.0,2736.0,2192.0,
49,Ast_000050,2574.0,4416.0,1492.0,2736.0,4058.0,2626.0,12300.0,4881.0,3214.0,4034.0,2261.0,8395.0,4318.0,1612.0,4313.0,5163.0,4331.0,3126.0
50,Ast_000051,1601.0,3829.0,3099.0,3740.0,4353.0,2739.0,8406.0,2144.0,4600.0,2485.0,3861.0,11427.0,4419.0,3283.0,1615.0,2371.0,2101.0,3975.0
51,Ast_000052,3807.0,1541.0,1420.0,4090.0,2109.0,3945.0,17211.0,1261.0,3852.0,2785.0,3071.0,12481.0,3280.0,4789.0,1752.0,2872.0,2551.0,4036.0
52,Ast_000053,4284.0,4277.0,5180.0,2174.0,4388.0,2056.0,19141.0,4399.0,1101.0,2384.0,2773.0,6707.0,3375.0,4590.0,2413.0,3915.0,4026.0,2965.0
53,Ast_000054,4276.0,1490.0,1976.0,4110.0,1980.0,3717.0,19115.0,1322.0,3565.0,2881.0,3132.0,12523.0,2623.0,3959.0,2329.0,3162.0,1736.0,4421.0
54,Ast_000055,3817.0,4180.0,4574.0,1877.0,4455.0,2721.0,17274.0,4288.0,1801.0,2493.0,2781.0,5825.0,2787.0,4681.0,2106.0,4538.0,4439.0,2418.0
55,Ast_000056,2167.0,4975.0,4168.0,3149.0,4158.0,2302.0,10669.0,2772.0,4520.0,2894.0,5031.0,9642.0,4388.0,2844.0,2128.0,3583.0,1773.0,3777.0
56,Ast_000057,2695.0,4010.0,4190.0,4388.0,2850.0,3019.0,12777.0,4282.0,3789.0,2441.0,4396.0,13356.0,2267.0,4601.0,3686.0,3248.0,3621.0,2893.0
57,Ast_000058,1984.0,3904.0,3840.0,3658.0,3714.0,1967.0,9942.0,2644.0,4915.0,2969.0,4011.0,11164.0,4339.0,2860.0,1754.0,2736.0,2125.0,4147.0
58,Ast_000059,3990.0,1636.0,2400.0,4019.0,1463.0,3721.0,17970.0,1866.0,4064.0,2195.0,3250.0,12256.0,2544.0,4700.0,2352.0,3187.0,2584.0,1000263.673
59,Ast_000060,3016.0,3891.0,1671.0,3252.0,3531.0,2222.0,14056.0,4763.0,3073.0,3723.0,1983.0,9944.0,4594.0,1785.0,4208.0,4747.0,5019.0,3273.0
60,Ast_000061,2840.0,3988.0,1502.0,2763.0,3789.0,2883.0,13360.0,4507.0,3316.0,4540.0,1666.0,8480.0,4933.0,2594.0,4179.0,4225.0,4936.0,3127.0
61,Ast_000062,2201.0,4135.0,3419.0,3631.0,3640.0,2444.0,10795.0,2397.0,5144.0,2947.0,4310.0,11088.0,3965.0,3392.0,1800.0,3947.0,964.0,4736.0
62,Ast_000063,4214.0,1874.0,1882.0,4873.0,2142.0,3423.0,18862.0,1669.0,3508.0,2367.0,2111.0,14827.0,2444.0,4447.0,2461.0,2877.0,3062.0,3640.0
63,Ast_000064,4005.0,1380.0,2230.0,5508.0,1797.0,3935.0,18008.0,1340.0,4209.0,3049.0,2743.0,16730.0,2643.0,4458.0,2311.0,3459.0,2181.0,4011.0
64,Ast_000065,2834.0,3912.0,1793.0,2988.0,3878.0,2486.0,13319.0,4494.0,2575.0,3997.0,1879.0,9169.0,4732.0,1786.0,4503.0,4691.0,4855.0,2938.0
65,Ast_000066,3623.0,1678.0,1934.0,3854.0,1696.0,3521.0,16506.0,1178.0,4050.0,2475.0,2974.0,11754.0,2773.0,5008.0,2510.0,3251.0,3018.0,3680.0
66,Ast_000067,4631.0,5370.0,5136.0,1989.0,4819.0,1777.0,20517.0,4538.0,1493.0,2602.0,1880.0,6158.0,2761.0,4683.0,3014.0,4268.0,4617.0,2739.0
67,Ast_000068,4841.0,4961.0,2800.0,1698.0,5226.0,1707.0,21368.0,2238.0,3873.0,5751.0,2353.0,5286.0,3719.0,1952.0,1385.0,2220.0,2520.0,1539.0
68,Ast_000069,1750.0,3932.0,3694.0,3534.0,3818.0,1933.0,9004.0,1914.0,5181.0,2895.0,4323.0,10816.0,4349.0,3602.0,1167.0,2650.0,1983.0,3774.0
69,Ast_000070,4268.0,4955.0,4991.0,1632.0,4290.0,2066.0,19073.0,4463.0,1653.0,2105.0,3624.0,5104.0,2548.0,4963.0,2329.0,4170.0,3946.0,2718.0
70,Ast_000071,4727.0,1952.0,1923.0,2987.0,4396.0,4146.0,20909.0,4361.0,2637.0,4498.0,3891.0,9160.0,4601.0,2747.0,1188.0,2702.0,5200.0,3246.0
71,Ast_000072,4641.0,1846.0,2158.0,3381.0,4516.0,4180.0,20556.0,4529.0,2430.0,5116.0,3883.0,10346.0,5256.0,3156.0,1453.0,2792.0,4705.0,3726.0
72,Ast_000073,3551.0,5061.0,4766.0,1738.0,4641.0,2318.0,16205.0,4540.0,1738.0,2213.0,2336.0,5397.0,2915.0,5389.0,3171.0,3873.0,4466.0,2471.0
73,Ast_000074,4356.0,4964.0,2483.0,2337.0,5172.0,1756.0,19413.0,2295.0,4407.0,5288.0,2345.0,7221.0,3738.0,2989.0,1556.0,2530.0,2728.0,1763.0
74,Ast_000075,1545.0,4576.0,3964.0,3464.0,3527.0,2305.0,8180.0,2228.0,4920.0,3158.0,4633.0,10596.0,4305.0,3447.0,1547.0,2593.0,1556.0,3752.0
75,Ast_000076,3870.0,1736.0,2014.0,5495.0,1806.0,3462.0,17474.0,1344.0,4192.0,2448.0,2692.0,16685.0,3051.0,4941.0,2097.0,3006.0,2418.0,3537.0
76,Ast_000077,4075.0,5069.0,2754.0,2064.0,4771.0,1534.0,18323.0,1177.0,4089.0,4517.0,2505.0,6391.0,4403.0,2701.0,1915.0,2330.0,3185.0,2116.0
77,Ast_000078,3974.0,4236.0,4805.0,1888.0,3998.0,2852.0,17898.0,4530.0,1381.0,2503.0,3021.0,5854.0,3025.0,4864.0,1973.0,4720.0,4215.0,2559.0
78,Ast_000079,3220.0,4270.0,1476.0,2915.0,3568.0,2406.0,14878.0,4610.0,3311.0,3804.0,2707.0,8942.0,4085.0,1834.0,4562.0,5036.0,5031.0,2856.0
79,Ast_000080,4209.0,4583.0,2526.0,1945.0,5737.0,1365.0,18817.0,2097.0,4763.0,5894.0,1902.0,6039.0,4162.0,2311.0,2100.0,2631.0,3040.0,1780.0
80,Ast_000081,2308.0,3615.0,4370.0,3443.0,2493.0,2949.0,11236.0,3701.0,3733.0,2634.0,4460.0,10544.0,2809.0,4345.0,3036.0,2780.0,3112.0,3066.0
81,Ast_000082,4527.0,1497.0,1623.0,4131.0,1702.0,3546.0,20123.0,1667.0,4030.0,2482.0,3071.0,12584.0,2828.0,4911.0,2397.0,3217.0,3039.0,3644.0
82,Ast_000083,4173.0,4884.0,4992.0,1944.0,4251.0,1863.0,18695.0,4573.0,1328.0,1639.0,2769.0,6030.0,3469.0,4981.0,2700.0,3952.0,4376.0,2852.0
83,Ast_000084,4242.0,737.0,1749.0,5121.0,1607.0,3635.0,18968.0,1834.0,3814.0,2233.0,3509.0,15562.0,2864.0,4214.0,1982.0,3061.0,2602.0,3891.0
84,Ast_000085,4441.0,4370.0,2075.0,2061.0,5492.0,786.0,19744.0,2602.0,4331.0,4144.0,1987.0,6394.0,3714.0,3036.0,1790.0,2520.0,3103.0,1051.0
85,Ast_000086,4304.0,4376.0,2998.0,1641.0,5069.0,1947.0,19200.0,1634.0,4390.0,4721.0,2282.0,5099.0,4937.0,2442.0,2017.0,2073.0,3184.0,1748.0
86,Ast_000087,2042.0,4042.0,3387.0,3851.0,3764.0,2267.0,10177.0,2074.0,5561.0,3117.0,3863.0,11759.0,4220.0,3225.0,2028.0,2492.0,1589.0,4269.0
87,Ast_000088,3210.0,4612.0,1534.0,3351.0,4143.0,2368.0,14845.0,4690.0,2689.0,4173.0,2309.0,10251.0,4234.0,1907.0,3966.0,4269.0,4276.0,2889.0
88,Ast_000089,4577.0,4588.0,2206.0,1526.0,4640.0,1957.0,20299.0,,4155.0,3906.0,2141.0,4790.0,4356.0,2407.0,1286.0,2703.0,3219.0,1793.0
89,Ast_000090,4000.0,4819.0,4826.0,1530.0,4493.0,2350.0,18007.0,4582.0,1332.0,2608.0,2647.0,4798.0,2330.0,5420.0,3072.0,4010.0,4258.0,2669.0
90,Ast_000091,2192.0,4002.0,4008.0,3822.0,2860.0,3356.0,10760.0,4168.0,3853.0,3351.0,4470.0,11669.0,2679.0,5142.0,3357.0,3016.0,3141.0,3459.0
91,Ast_000092,4540.0,4993.0,2780.0,1958.0,4922.0,1608.0,20157.0,1855.0,4750.0,4817.0,2444.0,6077.0,3858.0,2128.0,1397.0,2693.0,3116.0,1799.0
92,Ast_000093,1880.0,3447.0,3522.0,3939.0,4128.0,2286.0,9505.0,2447.0,5162.0,2869.0,3652.0,12004.0,4075.0,2741.0,1524.0,2776.0,1282.0,4134.0
93,Ast_000094,4414.0,4787.0,2692.0,1887.0,4791.0,1598.0,19641.0,2374.0,4449.0,5369.0,2127.0,5863.0,4077.0,2619.0,1316.0,2459.0,3444.0,958.0
94,Ast_000095,2717.0,4761.0,1377.0,2966.0,3228.0,2327.0,12872.0,4601.0,2875.0,4193.0,1962.0,9100.0,4508.0,1822.0,4211.0,4354.0,4703.0,2962.0
95,Ast_000096,2569.0,3695.0,4185.0,3739.0,2734.0,3170.0,12291.0,3514.0,3179.0,1870.0,4719.0,11426.0,2717.0,5316.0,3168.0,3161.0,3220.0,3149.0
96,Ast_000097,3122.0,4029.0,1275.0,2742.0,3323.0,1896.0,14473.0,5320.0,2957.0,4300.0,2351.0,8430.0,4912.0,2235.0,4249.0,5173.0,5025.0,3133.0
97,Ast_000098,3088.0,3898.0,1747.0,3207.0,3900.0,2674.0,14355.0,4304.0,3014.0,3412.0,2064.0,9821.0,4765.0,2485.0,4029.0,3800.0,4841.0,2890.0
98,Ast_000099,4517.0,4868.0,2283.0,1845.0,4645.0,1607.0,20070.0,2117.0,4484.0,4455.0,2020.0,5718.0,4260.0,2184.0,1702.0,2268.0,3057.0,1888.0
99,Ast_000100,4366.0,5186.0,4978.0,2091.0,4068.0,1483.0,19471.0,4625.0,1460.0,1996.0,2965.0,6489.0,2230.0,4475.0,2996.0,4174.0,4664.0,2744.0
100,Ast_000101,3113.0,4039.0,1933.0,3155.0,4245.0,2749.0,14443.0,4162.0,3034.0,4498.0,2115.0,9660.0,4033.0,1635.0,4240.0,4219.0,4819.0,3291.0
101,Ast_000102,4533.0,4468.0,4795.0,1901.0,4118.0,2210.0,20140.0,4755.0,1897.0,2928.0,2866.0,5907.0,2665.0,5181.0,3236.0,3762.0,4612.0,2688.0
102,Ast_000103,2772.0,4854.0,1839.0,3239.0,4785.0,2330.0,13098.0,4506.0,3208.0,4350.0,1834.0,9903.0,4672.0,1947.0,3963.0,4932.0,4513.0,2543.0
103,Ast_000104,4461.0,4523.0,3050.0,2448.0,4717.0,1495.0,19834.0,3011.0,4215.0,4447.0,2179.0,7564.0,3529.0,2201.0,1692.0,2343.0,3660.0,1532.0
104,Ast_000105,4204.0,3924.0,4822.0,1858.0,4176.0,1903.0,18819.0,4072.0,1639.0,2268.0,2902.0,5787.0,2577.0,5544.0,2675.0,4236.0,3708.0,2729.0
105,Ast_000106,2910.0,3607.0,1575.0,3139.0,3842.0,2263.0,13668.0,4507.0,3153.0,4390.0,2375.0,9622.0,4981.0,1579.0,4463.0,5075.0,4742.0,2665.0
106,Ast_000107,4418.0,2359.0,1662.0,3209.0,4482.0,4278.0,19652.0,3777.0,3035.0,4823.0,3843.0,9825.0,4535.0,2909.0,1749.0,2697.0,4817.0,3065.0
107,Ast_000108,2837.0,4727.0,1335.0,2779.0,3205.0,2701.0,13363.0,4446.0,3152.0,4107.0,1936.0,8535.0,5115.0,2409.0,3957.0,4320.0,5003.0,2818.0
108,Ast_000109,4645.0,2027.0,1888.0,3235.0,4674.0,3760.0,20573.0,3637.0,3132.0,5109.0,3280.0,9889.0,4907.0,2976.0,1688.0,2187.0,4875.0,3533.0
109,Ast_000110,4655.0,4548.0,2681.0,2153.0,4637.0,1403.0,20616.0,2352.0,4380.0,4325.0,2299.0,6650.0,3934.0,2398.0,1999.0,1959.0,3299.0,1743.0
110,Ast_000111,4418.0,4273.0,3010.0,2749.0,4756.0,1846.0,19681.0,2034.0,4233.0,4878.0,2204.0,8443.0,3898.0,2229.0,1385.0,2412.0,3197.0,1525.0
111,Ast_000112,2119.0,3855.0,3224.0,3439.0,3784.0,2117.0,10470.0,2375.0,5210.0,3085.0,3467.0,10510.0,4507.0,2685.0,2091.0,2525.0,1964.0,4722.0
112,Ast_000113,2214.0,3846.0,4039.0,2992.0,4018.0,2461.0,10852.0,2668.0,4694.0,2865.0,4013.0,9187.0,4753.0,3029.0,1856.0,2929.0,1261.0,4241.0
113,Ast_000114,4547.0,1927.0,2082.0,3318.0,4304.0,4469.0,20183.0,4154.0,2755.0,5476.0,4036.0,10138.0,4917.0,2619.0,1231.0,2557.0,4560.0,5105.0
114,Ast_000115,4082.0,4554.0,4625.0,1392.0,4231.0,2297.0,18314.0,4406.0,1813.0,1525.0,2569.0,4370.0,3052.0,4961.0,2771.0,4146.0,5080.0,2567.0
115,Ast_000116,1670.0,3473.0,4434.0,3739.0,2954.0,3210.0,8673.0,3894.0,3598.0,2319.0,4673.0,11429.0,2779.0,5355.0,3427.0,3167.0,3340.0,2952.0
116,Ast_000117,4288.0,4566.0,2169.0,2386.0,4767.0,1904.0,19152.0,1791.0,3780.0,4105.0,2332.0,7341.0,4172.0,2911.0,1885.0,2993.0,3264.0,1872.0
117,Ast_000118,2029.0,4122.0,4250.0,3728.0,2665.0,3245.0,10127.0,4281.0,2907.0,2580.0,4174.0,11392.0,2710.0,5062.0,3288.0,2919.0,3410.0,3568.0
118,Ast_000119,3010.0,4930.0,1852.0,2422.0,4300.0,2631.0,14034.0,4295.0,2851.0,3640.0,2572.0,7459.0,3956.0,2641.0,4556.0,4703.0,4301.0,2834.0
119,Ast_000120,4455.0,5371.0,5049.0,2226.0,4094.0,2756.0,19822.0,4768.0,1861.0,2179.0,2827.0,6894.0,3719.0,4402.0,2404.0,4142.0,4265.0,2503.0
120,Ast_000121,2687.0,3931.0,2064.0,2960.0,4121.0,2468.0,12770.0,4557.0,3191.0,3880.0,2177.0,9089.0,4738.0,1815.0,4171.0,4054.0,4060.0,3298.0
121,Ast_000122,2854.0,4764.0,1418.0,3212.0,3571.0,2771.0,13406.0,4520.0,2889.0,3809.0,1844.0,9823.0,3344.0,1698.0,4239.0,3878.0,4440.0,2822.0
122,Ast_000123,3962.0,2765.0,1100.0,5254.0,1870.0,4084.0,17854.0,1985.0,4005.0,3032.0,2342.0,15970.0,3731.0,5017.0,1897.0,3201.0,3206.0,3812.0
123,Ast_000124,4140.0,4276.0,4738.0,2233.0,4465.0,1786.0,18552.0,4484.0,1728.0,2699.0,3104.0,6894.0,2976.0,4480.0,2078.0,3984.0,3824.0,2460.0
124,Ast_000125,2777.0,4313.0,1455.0,3072.0,4710.0,2693.0,13098.0,4353.0,3220.0,4265.0,2254.0,9414.0,4087.0,2051.0,4103.0,4508.0,4663.0,2522.0
125,Ast_000126,2925.0,4430.0,1705.0,2597.0,3744.0,2533.0,13698.0,4698.0,3015.0,4016.0,2363.0,7999.0,4564.0,1955.0,4206.0,4326.0,4858.0,3067.0
126,Ast_000127,4155.0,2029.0,1863.0,4189.0,1634.0,3893.0,18623.0,1295.0,4232.0,2470.0,2719.0,12773.0,2483.0,4684.0,1850.0,3045.0,2830.0,3857.0
127,Ast_000128,3044.0,3719.0,2288.0,2624.0,3932.0,2739.0,14162.0,4346.0,3334.0,4241.0,2137.0,8067.0,4735.0,1555.0,4117.0,4775.0,4489.0,3271.0
128,Ast_000129,1898.0,3911.0,4695.0,4017.0,3341.0,3478.0,9592.0,4003.0,3399.0,3207.0,4429.0,12236.0,3048.0,5598.0,3445.0,2930.0,3502.0,2779.0
129,Ast_000130,2635.0,3113.0,3627.0,4037.0,2984.0,3331.0,12538.0,3297.0,3593.0,1859.0,4436.0,12303.0,1914.0,5352.0,3580.0,2909.0,3108.0,3386.0
130,Ast_000131,1768.0,4832.0,4224.0,3644.0,3377.0,2508.0,9087.0,2830.0,5131.0,3174.0,3650.0,11131.0,4264.0,2671.0,2031.0,2447.0,1525.0,3913.0
131,Ast_000132,4771.0,2089.0,2062.0,2890.0,4628.0,4212.0,21079.0,3959.0,2762.0,4059.0,3992.0,8862.0,4761.0,2715.0,1741.0,2426.0,4266.0,3695.0
132,Ast_000133,3935.0,4587.0,2336.0,1823.0,4907.0,2040.0,17728.0,1854.0,4359.0,1000244.981,2389.0,5660.0,4296.0,2780.0,1604.0,2483.0,3218.0,1746.0
133,Ast_000134,1775.0,4344.0,2994.0,3591.0,3939.0,1986.0,9097.0,2191.0,4684.0,3797.0,3528.0,10981.0,3909.0,3018.0,2245.0,2604.0,1117.0,3969.0
134,Ast_000135,4093.0,4914.0,5338.0,1774.0,4368.0,1982.0,18370.0,4383.0,1165.0,2906.0,2705.0,5533.0,2950.0,4302.0,3654.0,4009.0,4222.0,2724.0
135,Ast_000136,3946.0,4893.0,5201.0,1845.0,3757.0,2329.0,17780.0,4383.0,1780.0,1617.0,2601.0,5722.0,2813.0,4802.0,2384.0,4362.0,4470.0,2842.0
136,Ast_000137,4211.0,2584.0,2025.0,2807.0,4430.0,3672.0,18844.0,3861.0,3191.0,4763.0,3989.0,8619.0,4691.0,2743.0,1489.0,2909.0,4528.0,3738.0
137,Ast_000138,1000216.258,2052.0,1926.0,3120.0,4383.0,4180.0,4002886.0,3839.0,2343.0,4328.0,3745.0,9568.0,4677.0,2819.0,1404.0,2813.0,4951.0,3341.0
138,Ast_000139,4230.0,1790.0,2194.0,5039.0,2015.0,3913.0,18895.0,1766.0,4142.0,3029.0,3486.0,15310.0,3395.0,4894.0,2175.0,3417.0,2809.0,4315.0
