ID,Alamosite,Chalcophyllite,Gypsum,Orpiment,Junitoite,Phoenicochroite,Groutite,Zykaite,Weloganite,Diadochite,Semseyite,Creedite,Xieite,Eveite,Rutile,Tyrolite,Feroxyhyte,Kostovite
Ast_000026,2753,4215,2098,2691,3665,2450,13013,5684,2574,3939,2510,8284,4022,1649,4057,4529,4271,3595
Ast_000027,4067,1850,2038,4119,1757,3646,18282,1259,3980,2523,2562,12572,2096,4644,2394,3338,2955,3503
Ast_000028,4062,1643,2057,5181,1819,3647,18232,1371,3918,2911,2547,15758,2334,4548,2146,3321,2617,3846
Ast_000029,4875,2195,1554,3020,4201,4365,21501,4347,2945,5846,3174,9264,4564,2612,1931,3451,4814,4280
Ast_000030,1750,4216,3634,3455,3941,2710,8993,2639,5363,2994,4391,10584,,2616,1531,3771,1826,3570
Ast_000031,1718,3804,4093,3598,2605,3491,8860,3916,3122,2517,4691,10970,2737,4842,3602,3268,3308,2475
Ast_000032,4649,4413,3049,2238,5591,1239,20596,1381,5100,4704,2181,6896,4256,2286,2329,2522,3491,1607
Ast_000033,2487,3520,4362,4163,2709,3604,11935,3426,4161,2635,4364,12680,2883,4651,2912,3217,3469,3441
Ast_000034,2940,4547,1294,2776,4457,2296,13759,4481,3554,4606,2659,8525,4444,1975,4060,4409,4542,2846
Ast_000035,4241,4572,2017,2381,4116,1358,18967,2058,4731,4640,2228,7344,4301,2049,1674,2536,3402,1473
Ast_000036,4669,2443,1996,2745,4212,3523,20679,3750,2840,5089,3873,8421,4848,2717,2038,2676,5233,3186
Ast_000037,4192,5163,5137,2148,4297,2509,18778,4562,1407,2218,2592,6650,2500,4681,2562,4181,4119,2192
Ast_000038,3934,1204,2093,4692,2317,3794,17727,2014,4313,2631,3246,14283,1967,4656,2783,3269,2322,3488
Ast_000039,2880,5265,1976,2426,3858,2364,13535,4729,2931,3550,1854,7490,4474,2472,4529,4079,4295,3176
Ast_000040,4260,1876,919,4396,1805,3658,19049,1743,3851,2210,2604,13384,2418,4020,2156,3589,2436,3883
Ast_000041,3631,1620,2309,4445,1585,3962,*^,1239,3719,2851,2809,13549,3244,4664,2329,3250,2413,3631
Ast_000042,2904,3410,1182,2901,3349,2214,13619,4849,2705,3769,2319,8922,4855,2055,3844,4576,4563,3082
Ast_000043,4717,4419,3090,2510,4884,1708,20863,2057,4464,5265,2401,7725,3535,2708,1384,2406,2842,1365
Ast_000044,4896,2843,2055,3297,4706,3723,21581,3973,3130,5273,3931,10099,5084,2817,2363,2245,4788,3767
Ast_000045,3232,1628,1474,4611,1757,3644,14938,1725,4353,1942,3227,14020,3160,4065,2207,3325,2364,3451
Ast_000046,4838,2222,2118,2791,4858,4161,21344,4129,3107,5428,3875,8580,3705,2494,1840,2467,4739,2659
Ast_000047,4836,2047,2132,3169,4422,3316,21343,3386,2119,4677,3905,9717,4991,2231,1927,3083,4748,3452
Ast_000048,2891,4191,1937,2624,4428,2399,13564,5087,2983,4219,1858,8066,4784,1323,4387,4475,3872,2928
Ast_000049,1896,3933,3587,3280,3379,2277,9583,2615,5278,3015,4689,10030,4263,3204,1585,2736,2192,
Ast_000050,2574,4416,1492,2736,4058,2626,12300,4881,3214,4034,2261,8395,4318,1612,4313,5163,4331,3126
Ast_000051,1601,3829,3099,3740,4353,2739,8406,2144,4600,2485,3861,11427,4419,3283,1615,2371,2101,3975
Ast_000052,3807,1541,1420,4090,2109,3945,17211,1261,3852,2785,3071,12481,3280,4789,1752,2872,2551,4036
Ast_000053,4284,4277,5180,2174,4388,2056,19141,4399,1101,2384,2773,6707,3375,4590,2413,3915,4026,2965
Ast_000054,4276,1490,1976,4110,1980,3717,19115,1322,3565,2881,3132,12523,2623,3959,2329,3162,1736,4421
Ast_000055,3817,4180,4574,1877,4455,2721,17274,4288,1801,2493,2781,5825,2787,4681,2106,4538,4439,2418
Ast_000056,2167,4975,4168,3149,4158,2302,10669,2772,4520,2894,5031,9642,4388,2844,2128,3583,1773,3777
Ast_000057,2695,4010,4190,4388,2850,3019,12777,4282,3789,2441,4396,13356,2267,4601,3686,3248,3621,2893
Ast_000058,1984,3904,3840,3658,3714,1967,9942,2644,4915,2969,4011,11164,4339,2860,1754,2736,2125,4147
Ast_000059,3990,1636,2400,4019,1463,3721,17970,1866,4064,2195,3250,12256,2544,4700,2352,3187,2584,1000263.673
Ast_000060,3016,3891,1671,3252,3531,2222,14056,4763,3073,3723,1983,9944,4594,1785,4208,4747,5019,3273
Ast_000061,2840,3988,1502,2763,3789,2883,13360,4507,3316,4540,1666,8480,4933,2594,4179,4225,4936,3127
Ast_000062,2201,4135,3419,3631,3640,2444,10795,2397,5144,2947,4310,11088,3965,3392,1800,3947,964,4736
Ast_000063,4214,1874,1882,4873,2142,3423,18862,1669,3508,2367,2111,14827,2444,4447,2461,2877,3062,3640
Ast_000064,4005,1380,2230,5508,1797,3935,18008,1340,4209,3049,2743,16730,2643,4458,2311,3459,2181,4011
Ast_000065,2834,3912,1793,2988,3878,2486,13319,4494,2575,3997,1879,9169,4732,1786,4503,4691,4855,2938
Ast_000066,3623,1678,1934,3854,1696,3521,16506,1178,4050,2475,2974,11754,2773,5008,2510,3251,3018,3680
Ast_000067,4631,5370,5136,1989,4819,1777,20517,4538,1493,2602,1880,6158,2761,4683,3014,4268,4617,2739
Ast_000068,4841,4961,2800,1698,5226,1707,21368,2238,3873,5751,2353,5286,3719,1952,1385,2220,2520,1539
Ast_000069,1750,3932,3694,3534,3818,1933,9004,1914,5181,2895,4323,10816,4349,3602,1167,2650,1983,3774
Ast_000070,4268,4955,4991,1632,4290,2066,19073,4463,1653,2105,3624,5104,2548,4963,2329,4170,3946,2718
Ast_000071,4727,1952,1923,2987,4396,4146,20909,4361,2637,4498,3891,9160,4601,2747,1188,2702,5200,3246
Ast_000072,4641,1846,2158,3381,4516,4180,20556,4529,2430,5116,3883,10346,5256,3156,1453,2792,4705,3726
Ast_000073,3551,5061,4766,1738,4641,2318,16205,4540,1738,2213,2336,5397,2915,5389,3171,3873,4466,2471
Ast_000074,4356,4964,2483,2337,5172,1756,19413,2295,4407,5288,2345,7221,3738,2989,1556,2530,2728,1763
Ast_000075,1545,4576,3964,3464,3527,2305,8180,2228,4920,3158,4633,10596,4305,3447,1547,2593,1556,3752
Ast_000076,3870,1736,2014,5495,1806,3462,17474,1344,4192,2448,2692,16685,3051,4941,2097,3006,2418,3537
Ast_000077,4075,5069,2754,2064,4771,1534,18323,1177,4089,4517,2505,6391,4403,2701,1915,2330,3185,2116
Ast_000078,3974,4236,4805,1888,3998,2852,17898,4530,1381,2503,3021,5854,3025,4864,1973,4720,4215,2559
Ast_000079,3220,4270,1476,2915,3568,2406,14878,4610,3311,3804,2707,8942,4085,1834,4562,5036,5031,2856
Ast_000080,4209,4583,2526,1945,5737,1365,18817,2097,4763,5894,1902,6039,4162,2311,2100,2631,3040,1780
Ast_000081,2308,3615,4370,3443,2493,2949,11236,3701,3733,2634,4460,10544,2809,4345,3036,2780,3112,3066
Ast_000082,4527,1497,1623,4131,1702,3546,20123,1667,4030,2482,3071,12584,2828,4911,2397,3217,3039,3644
Ast_000083,4173,4884,4992,1944,4251,1863,18695,4573,1328,1639,2769,6030,3469,4981,2700,3952,4376,2852
Ast_000084,4242,737,1749,5121,1607,3635,18968,1834,3814,2233,3509,15562,2864,4214,1982,3061,2602,3891
Ast_000085,4441,4370,2075,2061,5492,786,19744,2602,4331,4144,1987,6394,3714,3036,1790,2520,3103,1051
Ast_000086,4304,4376,2998,1641,5069,1947,19200,1634,4390,4721,2282,5099,4937,2442,2017,2073,3184,1748
Ast_000087,2042,4042,3387,3851,3764,2267,10177,2074,5561,3117,3863,11759,4220,3225,2028,2492,1589,4269
Ast_000088,3210,4612,1534,3351,4143,2368,14845,4690,2689,4173,2309,10251,4234,1907,3966,4269,4276,2889
Ast_000089,4577,4588,2206,1526,4640,1957,20299,3545ki,4155,3906,2141,4790,4356,2407,1286,2703,3219,1793
Ast_000090,4000,4819,4826,1530,4493,2350,18007,4582,1332,2608,2647,4798,2330,5420,3072,4010,4258,2669
Ast_000091,2192,4002,4008,3822,2860,3356,10760,4168,3853,3351,4470,11669,2679,5142,3357,3016,3141,3459
Ast_000092,4540,4993,2780,1958,4922,1608,20157,1855,4750,4817,2444,6077,3858,2128,1397,2693,3116,1799
Ast_000093,1880,3447,3522,3939,4128,2286,9505,2447,5162,2869,3652,12004,4075,2741,1524,2776,1282,4134
Ast_000094,4414,4787,2692,1887,4791,1598,19641,2374,4449,5369,2127,5863,4077,2619,1316,2459,3444,958
Ast_000095,2717,4761,1377,2966,3228,2327,12872,4601,2875,4193,1962,9100,4508,1822,4211,4354,4703,2962
Ast_000096,2569,3695,4185,3739,2734,3170,12291,3514,3179,1870,4719,11426,2717,5316,3168,3161,3220,3149
Ast_000097,3122,4029,1275,2742,3323,1896,14473,5320,2957,4300,2351,8430,4912,2235,4249,5173,5025,3133
Ast_000098,3088,3898,1747,3207,3900,2674,14355,4304,3014,3412,2064,9821,4765,2485,4029,3800,4841,2890
Ast_000099,4517,4868,2283,1845,4645,1607,20070,2117,4484,4455,2020,5718,4260,2184,1702,2268,3057,1888
Ast_000100,4366,5186,4978,2091,4068,1483,19471,4625,1460,1996,2965,6489,2230,4475,2996,4174,4664,2744
Ast_000101,3113,4039,1933,3155,4245,2749,14443,4162,3034,4498,2115,9660,4033,1635,4240,4219,4819,3291
Ast_000102,4533,4468,4795,1901,4118,2210,20140,4755,1897,2928,2866,5907,2665,5181,3236,3762,4612,2688
Ast_000103,2772,4854,1839,3239,4785,2330,13098,4506,3208,4350,1834,9903,4672,1947,3963,4932,4513,2543
Ast_000104,4461,4523,3050,2448,4717,1495,19834,3011,4215,4447,2179,7564,3529,2201,1692,2343,3660,1532
Ast_000105,4204,3924,4822,1858,4176,1903,18819,4072,1639,2268,2902,5787,2577,5544,2675,4236,3708,2729
Ast_000106,2910,3607,1575,3139,3842,2263,13668,4507,3153,4390,2375,9622,4981,1579,4463,5075,4742,2665
Ast_000107,4418,2359,1662,3209,4482,4278,19652,3777,3035,4823,3843,9825,4535,2909,1749,2697,4817,3065
Ast_000108,2837,4727,1335,2779,3205,2701,13363,4446,3152,4107,1936,8535,5115,2409,3957,4320,5003,2818
Ast_000109,4645,2027,1888,3235,4674,3760,20573,3637,3132,5109,3280,9889,4907,2976,1688,2187,4875,3533
Ast_000110,4655,4548,2681,2153,4637,1403,20616,2352,4380,4325,2299,6650,3934,2398,1999,1959,3299,1743
Ast_000111,4418,4273,3010,2749,4756,1846,19681,2034,4233,4878,2204,8443,3898,2229,1385,2412,3197,1525
Ast_000112,2119,3855,3224,3439,3784,2117,10470,2375,5210,3085,3467,10510,4507,2685,2091,2525,1964,4722
Ast_000113,2214,3846,4039,2992,4018,2461,10852,2668,4694,2865,4013,9187,4753,3029,1856,2929,1261,4241
Ast_000114,4547,1927,2082,3318,4304,4469,20183,4154,2755,5476,4036,10138,4917,2619,1231,2557,4560,5105
Ast_000115,4082,4554,4625,1392,4231,2297,18314,4406,1813,1525,2569,4370,3052,4961,2771,4146,5080,2567
Ast_000116,1670,3473,4434,3739,2954,3210,8673,3894,3598,2319,4673,11429,2779,5355,3427,3167,3340,2952
Ast_000117,4288,4566,2169,2386,4767,1904,19152,1791,3780,4105,2332,7341,4172,2911,1885,2993,3264,1872
Ast_000118,2029,4122,4250,3728,2665,3245,10127,4281,2907,2580,4174,11392,2710,5062,3288,2919,3410,3568
Ast_000119,3010,4930,1852,2422,4300,2631,14034,4295,2851,3640,2572,7459,3956,2641,4556,4703,4301,2834
Ast_000120,4455,5371,5049,2226,4094,2756,19822,4768,1861,2179,2827,6894,3719,4402,2404,4142,4265,2503
Ast_000121,2687,3931,2064,2960,4121,2468,12770,4557,3191,3880,2177,9089,4738,1815,4171,4054,4060,3298
Ast_000122,2854,4764,1418,3212,3571,2771,13406,4520,2889,3809,1844,9823,3344,1698,4239,3878,4440,2822
Ast_000123,3962,2765,1100,5254,1870,4084,17854,1985,4005,3032,2342,15970,3731,5017,1897,3201,3206,3812
Ast_000124,4140,4276,4738,2233,4465,1786,18552,4484,1728,2699,3104,6894,2976,4480,2078,3984,3824,2460
Ast_000125,2777,4313,1455,3072,4710,2693,13098,4353,3220,4265,2254,9414,4087,2051,4103,4508,4663,2522
Ast_000126,2925,4430,1705,2597,3744,2533,13698,4698,3015,4016,2363,7999,4564,1955,4206,4326,4858,3067
Ast_000127,4155,2029,1863,4189,1634,3893,18623,1295,4232,2470,2719,12773,2483,4684,1850,3045,2830,3857
Ast_000128,3044,3719,2288,2624,3932,2739,14162,4346,3334,4241,2137,8067,4735,1555,4117,4775,4489,3271
Ast_000129,1898,3911,4695,4017,3341,3478,9592,4003,3399,3207,4429,12236,3048,5598,3445,2930,3502,2779
Ast_000130,2635,3113,3627,4037,2984,3331,12538,3297,3593,1859,4436,12303,1914,5352,3580,2909,3108,3386
Ast_000131,1768,4832,4224,3644,3377,2508,9087,2830,5131,3174,3650,11131,4264,2671,2031,2447,1525,3913
Ast_000132,4771,2089,2062,2890,4628,4212,21079,3959,2762,4059,3992,8862,4761,2715,1741,2426,4266,3695
Ast_000133,3935,4587,2336,1823,4907,2040,17728,1854,4359,1000244.981,2389,5660,4296,2780,1604,2483,3218,1746
Ast_000134,1775,4344,2994,3591,3939,1986,9097,2191,4684,3797,3528,10981,3909,3018,2245,2604,1117,3969
Ast_000135,4093,4914,5338,1774,4368,1982,18370,4383,1165,2906,2705,5533,2950,4302,3654,4009,4222,2724
Ast_000136,3946,4893,5201,1845,3757,2329,17780,4383,1780,1617,2601,5722,2813,4802,2384,4362,4470,2842
Ast_000137,4211,2584,2025,2807,4430,3672,18844,3861,3191,4763,3989,8619,4691,2743,1489,2909,4528,3738
Ast_000138,1000216.258,2052,1926,3120,4383,4180,4002886,3839,2343,4328,3745,9568,4677,2819,1404,2813,4951,3341
Ast_000139,4230,1790,2194,5039,2015,3913,18895,1766,4142,3029,3486,15310,3395,4894,2175,3417,2809,4315
Ast_000140,2536,4634,1459,2712,3369,2619,12161,4514,3159,4311,2171,8326,3886,2146,4196,4682,4585,3126
Ast_000141,4787,2524,2353,3004,4328,3895,21154,4501,2312,4885,4005,9211,5011,2944,796,2979,4502,3318
Ast_000142,4330,2526,1685,3783,4254,3692,19321,3954,2867,4947,3805,11554,4058,3444,2764,2839,4782,3662
Ast_000143,4099,4179,4679,1654,4219,2324,18396,4660,1625,1734,2510,5152,3209,4664,3032,3987,4176,2589
Ast_000144,4003,4612,5071,1588,3959,2397,18001,4442,1728,1840,2971,4973,2913,5602,2401,4109,3400,2475
Ast_000145,3207,3886,2620,3422,3548,2375,14815,4633,2767,3642,2583,10469,4384,2187,4051,4543,4615,3055
Ast_000146,4175,4547,2607,2101,5191,1989,18697,2655,4707,5008,2220,6507,4728,2993,2456,2531,3081,1394
Ast_000147,3647,1939,1586,5028,2003,3122,16573,1646,4296,2904,2739,15296,2446,3665,2509,3188,3591,3382
Ast_000148,4800,4881,3124,2520,4272,1788,21192,1607,4024,5082,2217,7751,3869,2761,2059,2581,3389,1440
Ast_000149,4208,4397,4756,1888,3839,2386,18833,4606,1285,1878,2204,5866,3579,4933,2617,3776,4401,2923
Ast_000150,4691,2482,2035,3529,4707,3394,20759,3461,2377,4690,4044,10788,4530,3004,1078,3016,4631,3365
Ast_000151,1996,4283,3630,2857,4055,2271,9973,2436,4520,3273,4337,8759,4759,3088,1396,3605,2388,4380
Ast_000152,1829,4208,3417,3170,3950,2297,9308,2768,4380,3083,3818,9702,4156,3828,1302,3786,1186,3217
Ast_000153,4822,4971,2489,1982,4300,1401,21281,2552,4307,4253,2281,6143,4299,1999,1970,2522,2438,2012
Ast_000154,1805,4322,3717,3574,4594,2345,9221,2256,4531,3162,3362,10931,4062,3077,1793,3680,1577,3734
Ast_000155,1819,3976,3928,3768,3553,2072,9268,3112,5879,2815,4133,11500,3982,3117,1638,2089,2102,3859
Ast_000156,4821,2169,1253,2978,4265,3413,21282,4336,3166,5168,4147,9123,4357,2855,1898,2497,5207,4304
Ast_000157,2039,3517,3929,4091,2757,3584,10146,4101,3993,2578,4241,12462,2759,4489,3534,2829,3242,3370
Ast_000158,4189,4781,4575,1405,4446,1963,18757,4540,1105,1619,3029,4421,2529,4659,3308,3919,4142,2753
Ast_000159,5082,3146,1788,2844,4038,4792,22327,3949,2197,5754,3513,8732,5075,2538,2903,2453,4712,4321
Ast_000160,2185,3910,4033,4363,2593,3268,10747,4028,3437,2902,4318,13295,3086,4934,3460,3013,3640,3123
Ast_000161,4438,2048,2555,3269,4024,4054,19739,3857,3381,5849,3154,9985,5250,2806,2787,3208,4677,3681
Ast_000162,4530,4624,2078,2149,5166,1683,20124,2441,4620,4587,2038,6644,4074,2041,968,2108,2365,535
Ast_000163,3069,4232,1797,3215,3283,2578,14275,4338,2753,3553,2353,9842,4329,2485,4078,4278,4543,2661
Ast_000164,2009,4083,4039,2595,4385,1979,10029,2460,4480,2900,3483,8000,4329,2803,1670,3259,1899,4195
Ast_000165,4568,2437,1603,3053,4300,3758,20272,3646,2421,5496,4126,9366,5420,2330,1766,2547,4160,3220
Ast_000166,4594,2350,2396,3051,4080,3763,20374,3386,2767,4857,3873,9350,4743,2965,2313,2715,4713,3093
Ast_000167,2197,3782,fk4507s,3903,2886,3086,10794,4030,3183,2473,4565,11914,2356,4601,3383,3066,3574,3563
Ast_000168,3706,1855,1874,4466,1934,3486,16822,1607,4257,2516,3145,13601,2698,4391,2051,3052,2525,3300
Ast_000169,4929,4752,2139,1960,4420,1047,21701,1670,4625,5101,2111,6076,3318,2502,1799,2617,2759,1797
Ast_000170,2046,3277,4857,3530,2449,3512,10187,4229,4001,2922,4194,10793,2486,5280,3269,3246,3001,3398
Ast_000171,3955,770,1902,4478,2010,3375,17810,1273,4057,2942,2243,13655,2487,4464,2673,3534,2289,3595
Ast_000172,4134,4176,5045,1943,4322,2788,18523,4556,997,1939,2763,6013,2700,4894,1913,4099,4358,2584
Ast_000173,4105,4790,2498,1810,4549,1972,18448,1929,4372,4836,2409,5629,3940,2779,2127,1882,2291,1327
Ast_000174,1731,3992,3979,3975,3820,2583,8931,2068,4221,2903,3865,12118,4179,3289,1774,3794,1496,4220
Ast_000175,4113,1919,1756,4074,1767,3588,18458,1815,4199,2854,2722,12426,2632,4529,2358,2994,2885,3714
Ast_000176,4051,4875,2555,2322,4391,1313,18188,2587,4069,4963,2350,7159,4350,2349,1237,2696,3591,1132
Ast_000177,3766,2208,1727,4563,1917,4086,17057,1198,3898,2748,2515,13887,3149,5321,2205,3329,2443,4023
Ast_000178,5052,4621,2103,1633,4807,1314,22201,2183,4624,5228,2321,5093,4351,2650,1114,2423,3647,2207
Ast_000179,4927,1966,2169,3268,4359,3173,21719,4068,2318,4603,4411,9982,5303,2710,2222,2754,5061,3300
Ast_000180,2203,4207,4115,3228,3719,2557,10820,1955,4573,2859,4375,9895,4311,3151,2104,2840,1597,4219
Ast_000181,4628,2443,2207,3350,4827,3830,20512,4123,3355,4678,3711,10251,4488,3140,1717,2407,4833,3221
Ast_000182,2549,3397,4301,4458,3463,3231,12169,3626,3432,2967,4290,13578,3409,5330,3640,3182,3118,2883
Ast_000183,4281,946,2049,3673,1995,4021,19121,1769,3729,2810,3308,11218,2596,4799,2541,3209,2414,3573
Ast_000184,3882,5236,4979,1840,4010,1914,17529,4775,1791,2211,2814,5714,2410,4583,2865,4442,3544,2487
Ast_000185,3916,4589,4929,2009,4433,2372,17655,4252,1375,1955,2845,6223,2892,4853,3120,3666,4345,2804
Ast_000186,4249,4588,4565,2141,4065,2397,18999,4552,1437,2214,3673,6616,3333,5218,2398,3747,4171,2596
Ast_000187,4591,4457,2331,2426,4386,1243,20346,2724,3885,4628,1678,7493,4140,2452,1771,2564,2550,1973
Ast_000188,4118,4880,4690,2599,5021,1857,18468,4525,1712,2579,2456,7989,2851,5020,2047,4039,3929,2701
Ast_000189,4419,2202,2093,2813,4007,3490,19694,4219,2811,5557,4033,8645,5059,2806,1200,3239,4526,3560
Ast_000190,3886,1366,1700,4881,1502,3336,17543,1498,4163,2578,3379,14839,2696,4898,2509,3135,2933,3539
Ast_000191,3876,2006,1952,3875,2048,3732,17501,1662,3921,2632,2378,11803,2883,4244,2433,3061,2515,3629
Ast_000192,2613,4999,1092,3006,3395,2588,12442,4477,3368,3995,1942,9217,4181,2037,4253,4440,4717,2449
Ast_000193,1963,4059,3841,3253,3617,2513,9851,2691,5013,3193,4035,9960,4503,3046,1730,2779,2015,4150
Ast_000194,2158,3301,4263,3986,2805,2973,10650,3308,3279,2962,4355,12157,3354,4803,3264,3108,3633,3204
Ast_000195,4025,1636,1974,3836,1974,3600,18092,1473,3722,2607,1891,11708,3005,5189,2836,3243,2769,3996
Ast_000196,2560,3720,4283,3483,2545,2949,12252,4173,3367,3240,4580,10651,2779,5145,3011,3373,3336,3210
Ast_000197,4715,4769,2891,2504,4559,1835,20844,1919,4393,4638,2117,7707,3317,2513,1225,2451,2155,2173
Ast_000198,2726,4333,2020,3344,3916,2582,12901,4587,3180,4200,2474,10240,4820,1845,4200,4646,4964,2800
Ast_000199,3017,4473,1879,3181,3898,2635,14066,5046,2740,3757,2277,9734,4687,1961,4322,4354,4431,2865
Ast_000200,2339,3786,3993,3639,3491,2240,11367,2158,4651,3577,4185,11104,3978,2685,1503,3036,1879,4328
Ast_000201,1394,3666,4546,3835,2507,3612,7580,3748,3900,2415,4210,11703,2468,4709,3411,3229,3038,3090
Ast_000202,4792,1780,1659,2639,4055,3703,21158,3947,2689,5659,4182,8115,4464,3372,2449,2905,4765,3237
Ast_000203,3778,1123,2001,4867,1805,3796,17102,2003,3853,2570,2192,14791,3196,4314,2222,2902,2743,3544
Ast_000204,3046,4488,1431,3010,4102,2924,14178,4186,2961,4102,1897,9235,4648,2365,3960,4778,4781,3094
Ast_000205,4524,4653,2906,2823,4857,1728,20120,2214,4409,5051,1664,8656,4017,2158,2176,2553,3624,1556
Ast_000206,2311,3305,4324,3961,2884,3272,11241,4529,3874,1698,4496,12090,2841,5132,3217,2714,3185,3177
Ast_000207,4427,946,2063,4951,1758,3568,19721,2054,3650,2691,2614,15053,2563,4281,2160,3103,2592,3932
Ast_000208,4451,2207,2047,3260,4093,4169,19801,4227,2641,4570,4597,9969,4992,2938,1793,2946,5297,3011
Ast_000209,2322,3906,4345,4015,2757,3358,11275,4441,3346,2602,4727,12236,3278,5025,3052,2679,3283,3660
Ast_000210,4228,1278,2403,4474,2382,4146,18895,1765,4135,2687,2090,13623,3202,3961,2646,3325,2747,3716
Ast_000211,3669,1004,1870,5464,1688,3471,16695,1991,4214,2489,3226,16601,3230,4092,2315,2921,2414,4129
Ast_000212,4549,4672,1968,2524,4946,1373,20191,1871,4662,5129,2005,7771,4767,1966,2040,2467,3452,1467
Ast_000213,3814,4467,4665,1985,3880,2779,17248,4461,1780,2280,3429,6154,3716,5172,2376,4009,4204,2898
Ast_000214,1651,3995,4345,3682,2618,3370,8602,3716,4008,2800,4456,11246,2999,5483,3315,2983,3432,3094
Ast_000215,2970,3860,1084,3173,3472,2872,13889,4264,2848,3994,2243,9706,3786,2703,3996,5068,4869,3215
Ast_000216,4539,2303,1971,3148,4060,4001,20155,3588,3305,5578,4040,9643,4484,2916,2003,3057,4784,3516
Ast_000217,4211,2277,1625,3177,4595,4214,18856,3417,3191,4901,4115,9729,4846,2266,1293,2713,4897,3770
Ast_000218,2070,3789,3755,3662,3610,2350,10275,2268,5240,2853,4537,11189,4000,3089,1981,3701,2031,3598
Ast_000219,4125,2673,2242,3024,4408,4113,18489,4165,3106,5246,4269,9269,4808,2771,2478,2660,4821,3210
Ast_000220,4163,4467,4833,2273,3992,1950,18660,4737,1447,2488,2494,7027,3087,4253,2864,4566,4696,2369
Ast_000221,4616,2656,2121,3321,4169,4016,20469,3477,2775,4669,3864,10170,4638,2880,1265,2392,4417,3121
Ast_000222,4340,4624,3381,1983,4567,1320,19358,1685,3898,5315,2566,6139,4346,2195,1218,2334,2744,951
Ast_000223,2334,3675,4583,4387,2960,3465,11329,3908,3264,2365,4630,13364,2908,4566,2881,2917,3673,3556
Ast_000224,4123,5079,5024,1877,4294,2523,18517,4304,2136,2628,2788,5833,3006,4805,3068,4520,4101,3026
Ast_000225,4021,2316,1577,5723,1579,3449,18096,1855,4158,2591,2590,17367,2447,4968,2501,2959,3278,3921
